#{"t_start": 1761514378.3104384, "env_id": "MiniWorld-Maze-v0"}
r,l,t
30.49843,300,3.670845
32.549139,300,6.85036
40.827044,300,9.71836
51.653509,300,12.596655
67.261998,300,15.783106
49.367368,300,18.613617
37.896611,300,21.3617
28.53009,300,24.618159
17.644229,300,27.381673
65.218364,300,30.133674
24.532733,300,33.29619
25.514398,300,36.136663
36.28158,300,38.938181
30.722435,300,42.074702
34.431574,300,44.912702
30.976088,300,47.716472
28.779998,300,50.675703
35.126082,300,53.577215
36.315056,300,56.430415
41.585944,300,59.41993
44.593543,300,62.282443
26.132749,300,64.998443
31.667602,300,67.900962
24.287998,300,70.84396
24.799154,300,73.614473
36.317568,300,76.852661
34.765652,300,79.844174
110.10453,300,82.654688
46.727815,300,85.817093
29.349948,300,88.822611
41.13488,300,92.119611
45.265406,300,95.272125
40.362382,300,98.165644
34.228338,300,100.929644
46.531307,300,103.834158
37.772388,300,106.873427
39.840987,300,109.711943
40.018089,300,112.620944
37.554468,300,115.684069
37.664856,300,118.555584
42.236004,300,121.512874
37.437356,300,124.71639
39.671542,300,127.470599
49.098346,300,130.338629
109.680383,300,133.568538
32.844335,300,136.387965
18.056568,300,139.28807
30.156497,300,142.263071
30.9497,300,145.304808
30.300148,300,148.079809
15.254961,111,149.410331
35.189854,300,152.565329
37.77616,300,155.53436
33.704407,300,158.400728
32.698316,300,161.268241
41.71934,300,164.257758
32.802284,300,167.154758
103.506785,300,169.987273
43.049859,300,173.13327
41.453057,300,175.996784
16.015534,100,177.281784
25.636804,300,180.273619
6.733719,9,180.599623
42.717323,300,183.674768
34.092618,300,186.527282
23.837118,300,189.336281
21.19125,300,192.402802
26.309722,300,195.265547
34.304638,300,198.190552
34.734901,300,201.375063
14.274257,300,204.237064
39.067747,300,207.106577
22.523315,300,210.170566
34.301342,300,213.160566
36.958343,300,216.083572
35.503508,300,219.087018
36.540966,300,222.550529
35.711025,300,225.644045
37.428802,300,228.835045
28.992768,300,232.708565
39.962782,300,235.762088
39.055784,300,238.868294
38.006534,300,242.583267
41.302514,300,245.660768
32.393831,300,248.756598
19.663814,169,250.779114
49.747863,300,254.263137
34.150131,300,257.333633
40.391988,300,260.597633
39.832596,300,264.167688
30.128672,300,267.403182
40.234891,300,270.646182
35.25142,300,274.320699
40.989293,300,277.476223
39.589545,300,280.789784
43.481103,300,284.84603
30.861158,300,288.028047
37.846112,300,291.180266
29.832818,300,294.859783
41.004694,300,297.958084
35.165346,300,301.081958
35.316835,300,304.863833
18.676273,45,305.593611
33.419709,300,308.80213
31.923106,300,311.925809
35.492144,300,315.671809
129.648778,300,318.880066
14.616017,121,320.352593
39.540127,300,324.193371
34.721826,300,327.809137
42.167083,300,331.044927
42.266729,300,334.585206
24.896509,27,335.232841
38.824511,300,338.511383
38.324827,300,341.980893
40.379218,300,345.952578
37.210886,300,349.292028
141.568675,300,352.555618
36.788108,300,356.544619
39.424572,300,359.856136
43.241524,300,363.496578
41.160642,300,367.7581
30.618966,300,371.068144
31.929215,300,374.200728
42.79276,300,378.129244
42.995839,218,380.649244
40.620871,300,383.909488
39.829051,300,387.662502
34.801461,74,388.750007
42.868567,300,392.052049
36.70347,300,395.306479
40.762519,300,399.094999
31.982162,300,402.372998
36.583422,300,405.744875
38.786395,300,409.60842
48.40851,300,413.120251
40.352335,300,416.500372
35.714794,300,420.740491
37.034454,300,424.033803
48.303198,300,427.380803
131.608837,300,431.139746
28.873149,300,434.434261
51.221223,300,437.805731
41.77076,300,441.506252
45.899275,300,444.779768
45.054822,300,448.24877
39.103653,300,451.942291
37.566688,300,455.361849
37.86045,300,459.035222
39.919936,300,462.718688
38.011649,300,466.173261
38.147448,300,469.65678
42.655226,300,473.52207
38.925507,300,476.889586
42.839797,300,480.471654
34.483297,300,484.196965
38.19541,300,487.54648
46.273498,300,491.228998
41.179778,300,494.916514
44.669647,300,498.443514
39.756867,300,502.007512
38.382206,300,505.796028
41.853266,300,509.108028
36.31591,300,512.774852
38.007029,300,516.383363
43.317894,300,519.706364
27.581902,300,523.550023
34.491202,255,526.665539
32.22664,300,529.990539
33.236726,300,533.701054
24.572491,300,537.260572
30.875498,300,540.508088
31.558647,300,544.202869
122.184662,300,547.848418
24.49333,300,551.246933
41.204042,300,555.351222
29.122794,300,558.863926
33.545552,300,562.209443
16.96911,14,562.682441
24.169408,300,566.804958
35.151654,300,570.262958
32.283832,300,573.752473
34.692022,300,579.694402
48.181873,300,583.057579
41.860756,300,586.524406
38.193894,300,591.487122
31.359848,300,595.180784
32.628128,300,598.560299
30.569327,300,602.644791
39.66072,300,606.072307
34.999096,300,609.569307
40.837141,300,613.241825
43.566474,300,616.61234
38.95352,300,620.169607
29.881246,300,623.922123
37.308919,300,627.493992
48.845574,300,631.217729
46.951218,143,633.58201
42.459047,300,636.963525
37.7278,300,640.418525
47.732451,300,644.357612
37.915301,300,647.826513
38.03455,300,651.240654
44.37537,300,655.089169
42.587702,300,658.438684
40.955836,300,661.835207
43.049105,300,665.623204
35.093256,300,669.01472
33.044423,300,672.592241
37.126361,300,676.331523
40.873931,300,679.719039
36.630643,300,683.234553
38.016667,300,687.009266
47.732523,300,690.294266
35.238241,300,693.839782
42.249073,300,697.510296
37.829159,300,700.877296
37.238749,300,704.513813
43.507274,300,708.157368
51.002249,300,711.580368
46.770719,300,715.328885
44.614419,300,718.850564
41.071039,300,722.300381
38.961477,300,726.217381
35.908654,300,729.625896
43.353947,300,732.986412
1.113838,4,733.250412
39.951342,300,737.145671
37.495423,300,740.579187
43.036642,300,744.011266
43.348079,300,747.975185
33.239952,300,751.304185
46.923515,300,754.837703
39.339253,300,758.98502
51.339947,300,762.628465
37.572692,300,766.41098
51.584343,300,770.552985
39.745434,300,774.044498
46.694061,300,778.132399
42.227974,300,782.038399
34.497922,300,785.738553
33.727963,284,789.484301
131.997471,300,793.514446
26.043834,300,796.958447
16.050632,300,800.915965
28.776723,300,804.938805
33.000751,300,808.355319
39.812664,300,812.157319
27.961478,300,815.633834
41.640628,300,818.984384
33.69113,300,822.919384
30.003605,300,826.355899
1.431832,9,826.708898
42.115944,300,830.178413
43.681447,300,834.320932
35.778583,300,838.204682
7.364547,37,839.070716
43.958532,300,842.594507
35.114032,300,846.497735
38.629454,300,849.918251
40.453757,300,853.58926
28.614933,300,857.338986
32.865,300,860.881579
34.672479,300,864.874637
40.615346,300,868.60596
34.403733,300,872.161005
38.706274,300,876.108577
38.865164,300,879.663281
35.693018,300,883.069365
32.264388,300,887.120794
40.352837,300,890.737535
40.300048,300,894.085412
29.633955,300,898.174618
37.698313,300,901.664088
41.543465,300,905.018694
28.410147,300,909.058038
38.885296,300,912.533478
35.214167,300,915.933089
25.431063,300,920.020437
28.517522,300,923.400932
40.357522,300,926.889417
41.474363,300,930.857636
27.201161,300,934.287863
45.695689,300,937.754944
11.859792,133,939.786465
43.340181,300,943.230041
36.496616,300,946.588729
38.402046,300,950.461266
35.607642,300,953.981783
40.234396,300,957.45526
44.140706,300,961.485119
164.552923,300,965.029317
28.100384,300,968.486299
28.689479,300,972.590436
27.504155,300,976.035952
31.122657,300,979.626067
42.80984,300,983.537668
41.516294,300,987.054315
27.464883,300,990.643296
32.099642,300,994.582126
36.229238,300,998.060641
46.294334,300,1001.849425
34.702514,300,1005.706944
34.588388,300,1009.180531
31.165179,300,1013.077552
47.20345,300,1016.830127
42.279654,300,1020.388579
31.569367,300,1024.299196
39.876381,300,1027.829356
30.98913,300,1031.197873
33.424564,300,1035.219873
26.323305,300,1038.656387
47.942809,300,1042.170166
17.468465,300,1046.442743
34.385355,300,1049.971932
33.89151,300,1053.558627
42.312266,300,1057.610744
42.627255,300,1061.227623
33.051618,300,1064.892195
41.275348,300,1068.888715
44.99615,300,1072.473177
33.285995,300,1076.192706
26.075119,300,1079.975705
32.290349,300,1083.394224
20.084864,300,1087.138241
28.999475,300,1090.837241
33.705684,300,1094.242071
16.08241,300,1098.281589
34.33297,300,1102.200381
29.111389,300,1105.801567
31.425825,300,1109.880083
35.186683,300,1113.598598
20.475208,300,1117.122113
24.920299,300,1121.322113
27.712413,300,1124.829637
43.382477,300,1128.400151
32.315602,300,1132.71094
26.035686,300,1136.282141
24.065759,300,1139.753655
42.262368,300,1143.775209
32.886905,300,1147.259923
42.164726,300,1150.777924
16.453081,300,1154.664275
24.075516,300,1158.058789
17.971079,300,1161.623789
19.024072,300,1165.371305
32.785281,300,1168.818824
27.783047,300,1172.622141
40.279732,300,1176.252404
25.657365,300,1179.61892
34.287015,300,1183.537441
35.516229,300,1187.02244
163.087769,300,1190.406956
17.948638,300,1194.366477
28.477809,300,1197.804992
36.460956,300,1201.203992
32.89539,300,1205.182869
29.029163,300,1208.602391
38.295899,300,1212.066796
22.090142,300,1215.955312
33.883145,300,1219.486895
36.426381,300,1223.318674
32.694247,300,1227.128815
27.604852,300,1230.723692
49.47371,300,1234.70167
39.495514,300,1238.394185
30.893709,300,1242.001694
31.691977,300,1246.284211
42.799937,300,1249.906008
33.488065,300,1253.539713
41.761953,300,1257.828493
40.41825,300,1261.364009
36.883225,300,1264.997463
42.834115,300,1269.026161
52.395279,300,1272.486284
37.594947,300,1276.144874
41.826985,300,1280.026859
34.626666,300,1283.518246
31.466392,300,1287.650758
50.644133,300,1291.424278
19.030566,300,1295.054793
32.853015,300,1299.131284
27.644734,300,1302.677282
36.834409,300,1306.31174
27.225148,300,1310.53067
37.193723,300,1314.079184
33.499271,300,1317.570184
35.32426,300,1321.757598
44.101766,300,1325.236115
34.08209,300,1329.007121
35.75977,300,1332.999632
50.64507,300,1336.520148
36.108579,300,1340.528671
82.48206,136,1342.515671
26.101492,300,1346.14559
34.076388,300,1350.13599
29.439492,300,1353.99099
5.462464,22,1354.481504
37.12918,300,1358.057443
40.715101,300,1361.933019
40.071148,300,1365.786475
33.695531,300,1369.351983
34.240629,300,1373.512574
163.121725,300,1377.121845
21.881962,300,1380.783359
40.136284,300,1384.946879
37.430819,300,1388.522879
34.302508,300,1392.208395
45.304066,300,1396.348207
37.468806,300,1399.977865
37.975563,300,1403.753702
57.182,147,1406.140222
31.166686,300,1409.687787
32.575643,300,1413.254541
42.272267,300,1417.668995
45.479615,300,1421.317558
45.371825,300,1424.998684
39.738796,300,1429.026206
40.841201,300,1432.669835
44.903915,300,1436.662772
42.526508,300,1440.452294
39.936499,300,1443.98067
42.527804,300,1447.91148
35.89035,300,1451.649996
46.138697,300,1455.264292
44.19285,300,1459.427583
52.042059,300,1462.909395
36.494066,300,1466.475914
34.620591,300,1470.551914
37.814482,300,1474.02643
41.588207,300,1477.631021
43.312059,300,1481.617465
41.746767,300,1485.156608
40.976252,300,1489.031133
36.603202,300,1492.938762
33.72084,300,1496.438633
47.163991,300,1500.626991
35.594205,300,1504.421524
43.468733,300,1508.032047
33.502308,300,1512.195572
28.199284,85,1513.415574
36.700297,300,1516.978087
35.541983,300,1520.721086
36.518686,300,1524.563427
32.234674,300,1528.20794
32.442382,300,1532.099602
46.103979,300,1535.849649
30.161207,300,1539.339753
46.403181,300,1543.410758
26.634771,300,1546.91527
26.999282,300,1550.36827
41.82302,300,1554.502786
34.730095,300,1557.938337
34.49951,300,1561.422339
38.021211,300,1565.380481
43.282743,300,1569.043996
31.318721,300,1572.837905
40.179623,300,1576.933429
30.009804,300,1580.59252
51.70887,300,1584.579563
28.346101,300,1588.50907
45.009249,300,1592.178584
35.838337,300,1596.532585
46.224701,300,1600.391563
38.985709,300,1604.111129
44.853153,300,1608.258208
34.373011,300,1612.091206
37.356512,300,1615.747889
27.051101,300,1619.993845
22.274994,300,1623.641448
27.587369,300,1627.260736
25.73698,300,1631.265253
36.097218,300,1634.852771
103.432542,294,1638.574496
35.173676,300,1642.421491
40.633488,300,1646.019403
42.148866,300,1649.796918
38.52473,300,1653.456435
35.674217,300,1656.980868
40.611318,300,1661.112772
43.317159,300,1664.560285
38.771059,300,1668.0808
46.650434,300,1672.066213
32.719339,300,1675.731874
33.327884,300,1679.408392
39.122349,300,1683.323924
33.678244,300,1686.894903
40.561464,300,1690.610713
39.604857,300,1694.782682
39.110149,300,1698.661797
40.007337,300,1702.499145
38.968721,300,1706.385722
36.811818,300,1709.859232
50.656721,300,1714.116684
32.253568,300,1718.208814
52.042097,300,1722.000983
41.620098,300,1726.966678
51.713079,300,1730.816885
40.151608,300,1734.495416
38.585342,300,1738.553219
38.384253,300,1742.074596
43.108393,300,1745.785825
39.563727,300,1749.882986
42.200396,300,1753.640891
39.323419,300,1757.573144
38.454969,300,1761.368169
39.699633,300,1765.113196
36.468114,300,1769.238817
37.062766,300,1772.951061
34.996677,300,1776.455643
46.063893,300,1780.559669
40.361902,300,1784.362182
10.708926,67,1785.441566
38.694574,300,1789.526859
37.312911,300,1793.490618
46.077754,300,1797.138348
44.757301,300,1801.152662
38.984205,300,1804.808022
44.033217,300,1808.412439
37.093729,300,1812.686471
36.600188,300,1816.202831
40.497848,300,1819.802218
46.051152,300,1823.889161
43.40604,300,1827.528909
42.078609,300,1831.251409
42.079106,300,1835.162993
42.38228,300,1838.663544
41.607802,300,1842.561469
40.597311,300,1846.225401
36.54986,300,1849.734843
46.452494,300,1853.938103
35.54863,300,1857.499504
40.810829,300,1861.161479
49.15512,300,1865.305162
43.339911,300,1868.776959
47.610907,300,1872.370548
45.164103,300,1876.228021
48.237453,300,1879.725618
33.534298,300,1883.600444
32.104178,300,1887.287822
33.957173,300,1890.843764
47.319882,300,1894.864288
35.657357,300,1898.382931
50.727699,300,1901.856731
63.509947,300,1905.907807
44.132741,300,1909.451165
42.446871,300,1913.314741
33.364574,300,1917.3488
42.186758,300,1920.908887
39.99269,300,1925.041882
36.03078,300,1928.723438
47.777682,300,1932.388252
27.812076,300,1936.572186
62.738118,300,1940.213678
43.801187,300,1943.788434
30.544268,300,1948.061807
44.998327,300,1951.596792
42.991299,300,1955.338121
42.129743,300,1959.276343
42.172542,300,1962.856118
40.324739,300,1966.7094
43.355782,300,1970.37273
38.625864,300,1973.898041
48.406831,300,1978.108074
32.803133,300,1981.614973
35.051757,300,1985.146928
52.826765,300,1989.298072
50.697049,300,1992.85367
41.03526,300,1996.73966
9.594923,55,1997.905509
52.662859,300,2001.419588
38.572987,300,2004.867779
36.0643,300,2008.98596
39.828274,300,2012.581637
62.269537,300,2016.148433
33.634767,300,2020.063382
40.204652,300,2023.120416
55.617726,300,2026.171419
37.660849,300,2029.324929
36.743017,300,2032.443444
53.045628,300,2035.501444
28.596367,300,2038.634034
63.41805,300,2041.676113
40.446729,300,2044.71003
45.632855,300,2047.749582
33.050905,300,2050.827105
25.011452,300,2053.818549
47.195924,300,2056.815893
44.844453,148,2058.403406
39.706722,300,2061.43415
38.904144,300,2064.446002
50.154077,300,2067.47024
36.710982,300,2070.439042
44.628079,300,2073.411099
43.969687,300,2076.443099
34.049722,300,2079.471164
46.225023,300,2082.591595
36.300539,300,2085.760993
44.687738,300,2088.847917
44.851364,300,2091.964674
39.365266,300,2094.888715
42.229846,300,2097.902713
43.28309,300,2101.012632
46.107315,300,2104.050987
38.895113,300,2107.120383
50.334865,300,2110.189216
45.969186,300,2113.205633
38.161117,300,2116.246891
35.891182,300,2119.249167
47.563475,300,2122.196692
12.668223,83,2123.116693
36.606084,300,2126.174931
42.508633,300,2129.184416
40.001104,300,2132.172416
37.296377,300,2135.162644
32.42676,300,2138.114261
44.202243,300,2141.063922
74.76896,300,2144.056198
34.151473,300,2147.010366
38.21577,300,2149.948398
4.839111,27,2150.393995
39.882343,300,2153.351835
37.848972,300,2156.331519
12.192668,8,2156.586518
49.348082,300,2159.53409
29.327873,300,2162.5027
16.386958,153,2164.102195
54.844157,300,2167.094611
39.510972,300,2170.043448
48.007473,300,2173.028971
34.51568,300,2176.023094
4.101622,15,2176.343418
49.237751,300,2179.383119
45.906641,300,2182.351869
37.048063,300,2185.327387
49.935895,300,2188.371904
42.425075,300,2191.345905
40.223177,300,2194.302421
12.633294,10,2194.58742
27.143111,300,2197.512126
30.027917,300,2200.48965
49.457149,300,2203.43379
30.599022,300,2206.471721
47.894105,300,2209.442791
36.503813,300,2212.392905
33.390722,300,2215.337779
37.847849,300,2218.304294
32.251037,300,2221.248244
56.286115,300,2224.251036
35.710343,300,2227.231665
31.130891,226,2229.52702
40.052479,300,2232.485602
37.849661,300,2235.446654
26.077855,300,2238.472807
47.81187,300,2241.445345
34.963056,300,2244.444706
100.805011,300,2247.498616
165.307955,300,2250.565637
12.167205,300,2253.669222
44.771287,300,2256.745322
35.550042,300,2259.82144
40.412532,300,2262.895468
40.967409,300,2266.114122
38.637167,300,2269.216945
39.671172,300,2272.336413
36.298594,300,2275.337728
46.118984,300,2278.473119
41.541299,300,2281.546011
41.220589,300,2284.669535
82.616585,282,2287.588935
37.113956,300,2290.626754
28.761619,203,2292.722067
29.649522,187,2294.682833
41.815042,300,2297.774629
48.942495,300,2300.772396
41.239481,300,2303.726316
48.105521,300,2306.780621
43.625942,300,2309.770864
43.524651,300,2312.73641
35.494123,300,2315.75955
48.373095,300,2318.763151
38.97758,300,2321.747707
38.912312,300,2324.718773
38.77922,300,2327.675773
38.260804,300,2330.653866
37.887256,300,2333.622867
38.945444,300,2336.588563
41.416779,300,2339.570998
3.842924,12,2339.852
1.069366,300,2034.275469
